Year,Region,Total_Cows_Damage,Total_Bear_Sightings
2008,Bucovina,0,170
2008,Dobrogea,1,25
2008,Maramures,0,123
2008,Muntenia,7,1757
2008,Transilvania,0,1128
2009,Crisana,2,849
2009,Dobrogea,7,908
2009,Maramures,3,253
2009,Moldova,0,82
2009,Muntenia,20,2572
2009,Transilvania,16,903
2010,Dobrogea,11,281
2010,Maramureș,0,695
2010,Muntenia,7,448
2010,Transilvania,2,1243
2011,Bucovina,0,270
2011,Dobrogea,1,28
2011,Maramureș,0,53
2011,Muntenia,8,1290
2011,Transilvania,7,1219
2012,Bucovina,1,182
2012,Crișana,6,1027
2012,Dobrogea,1,587
2012,Maramureș,3,1015
2012,Moldova,0,147
2012,Muntenia,50,4781
2012,Transilvania,35,3928
2013,Bucovina,1,65
2013,Dobrogea,1,844
2013,Maramureș,4,170
2013,Moldova,0,162
2013,Muntenia,18,3347
2013,Transilvania,34,2167
2014,Bucovina,4,227
2014,Crișana,2,1118
2014,Dobrogea,1,37
2014,Maramureș,8,1249
2014,Moldova,0,43
2014,Muntenia,11,1092
2014,Transilvania,31,3583
2015,Bucovina,5,117
2015,Dobrogea,1,510
2015,Maramureș,4,138
2015,Moldova,0,112
2015,Muntenia,17,3044
2015,Transilvania,29,1214
2016,Bucovina,3,140
2016,Crișana,0,389
2016,Dobrogea,0,321
2016,Maramureș,3,491
2016,Moldova,2,138
2016,Muntenia,21,2436
2016,Transilvania,17,1900
